Nom du lieu,Discipline,Offre,Avantage,Type d'avantage,Adresse,Commune,Latitude,Longitude,Color
Salle Jacques Berrier,Théâtre | Musique | Danse,Gratuité sur les spectacles et projections publiques. Rencontres privilégiées avec les artistes après les spectacles.,Avantage tarifaire et service,"Gratuité,Rencontre d'artistes",Rue Pierre Brossolette,Sarcelles,48.99457,2.37874,#3333FF
Cabaret Sauvage,Musique | Théâtre,Tarif réduit sur les productions et services specifiques comme rencontres avec les artistes,Avantage tarifaire et service,"Tarif réduit,Rencontre d'artistes",59 Boulevard Macdonald,Paris,48.89545122647197,2.3921649631055004,#3333FF
Château Rosa Bonheur,Patrimoine | Jardin | Musée,Tarif réduit sur réservation et rencontre avec les artistes même tarif pour accompagnant,Avantage tarifaire et service,"Tarif réduit,Rencontre d'artistes,Tarif réduit accompagnant",12 Rue Rosa Bonheur,Thomery,48.39602355173605,2.7833161796627977,#3333FF
Théâtre De Verdure Mel Bonis,Théâtre | Musique | Danse,Gratuité sur les spectacles et manifestations publiques. Rencontres privilégiées avec les artistes du Festival des Jardins d’Été et professionnels des métiers du spectacle.,Avantage tarifaire et service,"Gratuité,Rencontre d'artistes",1 Rue des Pilliers,Sarcelles,48.99488,2.37861,#3333FF
Centre de Wallonie Bruxelles,Centre d'art,"Tarif réduit sur l'ensemble de la programmation, -5% à la librairie",Avantage tarifaire et service,"Tarif réduit,Réduction en librairie",7 Rue de Venise,Paris,48.86093704916166,2.3512210442457286,#3333FF
Fondation Le Corbusier,Patrimoine,Reduction 2€ sur les pleins tarifs et offre ponctuelle sur visites guidées gratuites annoncées par newsletter,Avantage tarifaire et service,"Tarif réduit,Visite guidée gratuite",8-10 Square du Dr Blanche,Paris,48.851872882588566,2.2653071470567343,#3333FF
Théâtre Victor Hugo - Bagneux,Théâtre | Musique | Danse,"Tarif à 13€ pour les bénéficiaires du Pass Navigo ainsi que pour un accompagnateur (cercle Navigo). Service spécifique : invitations aux sorties de résidences, visite du théâtre, d'exposition.",Avantage tarifaire et service,"Tarif réduit,Rencontre d'artistes,Invitation aux vernissages,Visite guidée gratuite,Tarif réduit accompagnant",14 Avenue Victor Hugo,Bagneux,48.804081178568424,2.3215689900025573,#3333FF
Musée D'art Et D'histoire Du Judaïsme,Musée,Collection permanente gratuite le premier samedi du mois d'octobre à juin et -5% sur la librairie.,Avantage tarifaire et service,"Gratuité,Réduction en librairie",Hôtel de Saint-Aignan,Paris,48.86153,2.355736,#3333FF
Abbaye de Maubuisson,Centre d'art,Entrée gratuite aux expositions et reduc -50% à -60% sur les boissons,Avantage tarifaire et service,"Gratuité,Service exclusif",Avenue Richard de Tour,Saint-Ouen-l'Aumône,49.047435,2.114396,#3333FF
Ecole d'art Janine Haddad,Centre d'art,"Offre tarif réduit stages, rencontres privilégiées avec les artistes exposants. Vernissages d'exposition.",Avantage tarifaire et service,"Tarif réduit,Invitation aux vernissages,Rencontre d'artistes",5 Route de Garges,Sarcelles,48.99106,2.37509,#3333FF
Musée D'art Et D'histoire Paul Eluard - Saint Denis,Musée,"Tarif réduit et offres ponctuelles sur les évènements, visites, rencontres, coupe files",Avantage tarifaire et service,"Tarif réduit,Rencontre d'artistes",22 bis Rue Gabriel Péri,Saint-Denis,48.93242251062107,2.3562443493668854,#3333FF
Théâtre de La Commune - Aubervilliers,Théâtre | Musique | Danse,Tarif réduit 1 place 10€ pour -30 ans et 14€ pour + 30 ans et verre offert au bar,Avantage tarifaire et service,"Tarif réduit,Service exclusif",2 Rue Edouard Poisson,Aubervilliers,48.91079,2.38351,#3333FF
Le Livre-Echange,Livre,Gratuité sur les actions culturelles publiques du Livre-Échange. Rencontres privilégiées avec des auteurs et professionnels des métiers du livre,Avantage tarifaire et service,"Gratuité,Rencontre d'artistes",72 Rue Pierre Brossolette,Sarcelles,48.99313,2.37694,#3333FF
Coulommiers Pays de Brie Tourisme,Expérience,1 place offerte pour 1 place achetée sur prestations itinérance touristique avec Ferté Jazz + Atelier du gout en session privée 1 degustation de brie et champagne ou 1 place de cours de cuisine  masterclass offerte par session,Avantage tarifaire et service,"1 place achetée = 1 place offerte,Cadeau",7 Rue du Général de Gaulle,Coulommiers,48.812484693652635,3.084282598876224,#3333FF
Musée De La Résistance Nationale,Musée,Entrée demi-tarif soit 4€ et deux créneaux de visites guidées gratuites sur les samedis et dimanches,Avantage tarifaire et service,"Tarif réduit,Visite guidée gratuite",40 Quai Victor Hugo,Champigny-sur-Marne,48.81137785059553,2.5053108803314093,#3333FF
Musée Jean Jacques Rousseau,Musée,Tarif réduit aux personnes accompagnant le visiteur détenteur du passe Navigo qui bénéficie d'un tarif réduit ou gratuit au Musée Jean-Jacques Rousseau + une réduction de 5% à la boutique du musée pour ces deux mêmes visiteurs,Avantage tarifaire et service,"Tarif réduit accompagnant,Réduction en librairie",5 Rue Jean-Jacques Rousseau,Montmorency,48.98687254442382,2.3214838320020315,#3333FF
Musée D'art Et D'histoire de Melun,Musée,"Entrée à un tarif unique de 1 (hors tarif réduit), visite guidée gratuite pour les expo temporaires, invitation aux vernissages",Avantage tarifaire et service,"Tarif réduit,Visite guidée gratuite,Invitation aux vernissages",5 Rue du Franc Mûrier,Melun,48.53641,2.65894,#3333FF
